Cluster_ID	NRPSPKS_ID	annotation	aSDomain	score	evalue	domain_type	subtype	domain_start	domain_end	KR activity	KR stereochemistry	NRPSPredictor2	Stachelhaus	Minowa	pkssignature	consensus
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom02	356.0	3.60E-109	Condensation	Condensation_LCL	33348	34254							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A2	332.6	7.00E-102	AMP-binding		34833	36048			gly,ala,val,leu,ile,abu,iva	phe	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom03	317.8	1.70E-97	MT	nMT	36234	36894							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom04	84.1	1.40E-26	PCP		37479	37680							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom05	374.8	6.50E-115	Condensation	Condensation_LCL	37722	38628							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A3	330.2	3.70E-101	AMP-binding		39276	40422			tyr	tyr	trp		tyr
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom06	89.6	2.80E-28	PCP		40668	40869							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom07	377.1	1.30E-115	Condensation	Condensation_LCL	40911	41814							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A4	369.0	6.00E-113	AMP-binding		42384	43572			gly,ala,val,leu,ile,abu,iva	ala	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom08	81.4	9.70E-26	PCP		43818	44022							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom09	359.0	4.10E-110	Condensation	Condensation_LCL	44067	44970							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A5	330.3	3.40E-101	AMP-binding		45549	46764			gly,ala,val,leu,ile,abu,iva	phe	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom10	316.4	4.60E-97	MT	nMT	46950	47610							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom11	83.9	1.70E-26	PCP		48195	48399							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom12	371.0	9.10E-114	Condensation	Condensation_LCL	48438	49344							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A6	335.6	8.60E-103	AMP-binding		49911	51126			gly,ala,val,leu,ile,abu,iva	phe	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom13	83.8	1.80E-26	PCP		51375	51576							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom14	367.7	9.10E-113	Condensation	Condensation_LCL	51618	52521							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_A7	368.2	1.10E-112	AMP-binding		53094	54243			phe	arg	trp		nrp
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom15	79.4	4.20E-25	PCP		54489	54696							
BGC0001763.1_c1	ctg1_orf00029	NRPS	nrpspksdomains_ctg1_orf00029_Xdom16	110.9	3.30E-34	Thioesterase		54789	55494							
